Number,Tweets,Class
0,Kahramanmaraş türkoğlu ilçesi şekeroba köyü çağrı sokak no 4 çadır yatak ısıtıcı ölen insanlae için de kefen ihtiyacı var  iletişim:05435379496,1.0
1,"Teyitli, ses var, köpekler tepki veriyor.  Her şey var, sadece iki adet #ekskavatör lazım…  Ürgen paşa mah Atatürk cad Gül Apt 87/6  Nasrettin -Müzehher Maruf Ayda - mehmet Altay   Gassan Cilli 05322271102",1.0
2,0539 693 27 99 bu arkadaş Kahramanmaraş’ta çadır yokmuş 20 aylık bebeği var yakın olan konumla bilgisi olan varmı yakında çadırken olur çadır getirecek olur arabasının yakıtı bitmiş askerlik arkadaşımdır kendisi,1.0
3,Babamın yaşadığı yere henüz yardım ulaşmamış şarjlari çok az güvenligi olmayan bir alandalar kar yağıyor hipotermi gecirebilirler iletişim kurduk ateş yakamıyolar.Erzakları da yok  Kalaycik mahallesi Kalaycik sokak no:33 Islahiye/Gaziantep Elif koyuncuoglu  0539 248 9403,1.0
4,Samsun Atakum'da 18 adet yeni eşyalı daire vardır. 8 aylık kira ve ısıtma masrafları ödenmiştir. Ulaşım için destek sağlanacaktır.  İletişim:  05306684818  Yavuz Bey,1.0
5,Adıyaman merkez Bahçecik mahallesi yeni mezarlık yolu 1845 sokak no 6. Dışarıda yardım bekliyorlar 4 gündür sokaktalar. Arkadaşım ve 15 kişi ailesiyle beraber çok zor durumdalar çadıra oduna kömüre ihtiyaçları var ne olur yayalım,1.0
6,"YETERSİZMİŞ ACİL YARDIM GİTMESİ LAZIM ( TEYİTLİ )  HATAY / Samandağ yolu üzeri Koyunoğlu mahallesi Çamlık sokak No 19  Arkadaşımın ailesine ve bir çok insana yardım gerekiyor  battaniye, çadır, erzak, bebek bezi, hijyenik ped lazım  NAZLICAN AKSOY / 0539 478 54 45",1.0
7,ACİL VİNÇ VE KEPÇE LAZIM SES VAR ‼️  SÜMERLER MAH ASEL APT ŞÜKRÜ GÜÇLÜ BULVARI YEŞİL BEYAZ APT ANTAKYA   enkazda kalan: enes çulhacıoğlu   enkazın başında bekleyenler: ahmet Çulhacıoğlu 05379290473 hazar çulhacıoğlu 0 538 584 81 44,1.0
8,TEYİTLİ  6 AYLIK HAMİLE CANSU KAVLAK. VİNÇ LAZIM. DESTEK EKİP LAZIM. HASSAS CİHAZLA SES ALINDI LÜTFEN YARDIM EDİN 📍Ekinci Mh. İnönü Bulvarı No: 124 Elit Apartmanı Kat 5 daire 25 Antakya,1.0
9,‼️ARKADAŞLAR YAYAR MISINIZ ‼️  SES VAR AMA SİSMİK DINLEME ARACINA IHTIYAC VARMIS Kahramanmaras Onikisubat Hayrullah mahallesi malik ejder caddesi   altın kösk apartmani no 36 a blok kat 3 daire  5 şevval Gültekin 17 yasinda ,1.0
10,K.maraş Türkoğlu Beyoğlu mahallesi yeni Adana yolu lise civarı no55 erzak çadır yardımı acil +905510103613,1.0
11,"Hatay Narlıca'ya yeterince gıda,battaniye vs yardımı gitmiyormuş,hava çok soğukmuş bu adreste birçok kişi yardım bekliyormuş oradan biri ile iletişim için: 05523797644  *Bölge(ekte)burası,TüvTürk ve GEK ilaç fabrikası arasında gıda ve battaniye lütfen",1.0
12,AFET BÖLGESİNE MALZEME YOLLAYCAĞIZ AMA TIR BULAMIYORUZ ÇEVRENİZDE ÜCRETİ KARŞILIĞINDA ANTEP NURDAĞINA GİDECEK TIR VARSA YÖNLENDİRİR MİSİNİZ İSTANBULDAN KALKIP GAZİANTEP NURDAĞINA GİDİCEK 0545 572 89 27 BÜNYAMİN BALLI,1.0
13,OKAN VE AİLESİ 70 SAATTİR ENKAZDA ÇABALARIMIZ SONUCU EKİPLERİ ORAYA YOLLATTIK AMA MÜDAHELE İÇİN VİNÇ LAZIMMIŞ LÜTFEN ÇOK ACİL  adres:odabaşı mah. uğur mumcu blv. defne sitesi 17. blok antakya/hatay ekipler kontrolü bırakmış. ekip ve vinç  +90 0543 965 70 68 irtibat no,1.0
14,"-KAHRAMANMARAS  !!!! ÇOK ÖNEMLİ !!!! Kahramanmaraş Döngel köyü (döngel mağaraları) kümeevler kayseri ana yolunun kenarı 100 kişilik çadır lazımTemel gıda en çok çadir çocuk bezi mamalar yok,o civardaki köylerde çok mağdur",1.0
15,ADIYAMANDA ARKADAŞIMA ACİL ÇADIR LAZIM  HISNI MANSUR CADDESİ  BATUHAN BATUR :0 539 821 24 25,1.0
16,"ACİL HALA YAŞAM VAR‼️‼️ Odabaşı Mahallesi. Bektaş Sokak. Farklı Yaşam Rende Sitesi A Blok. HATAY/ANTAKYA İkra Nur Memilli, Songül Memilli, Hasan Memilli, Yavuz Memilli. 3 Gündür enkaz altındalar. Vinç gelmiş fakat ekiplerin gece çalışabilmesi için Flaşör gece lambası lazımmış",1.0
17,⚠️⚠️⚠️⚠️Çok Acil‼‼‼‼ Osmaniye kadirli 7 mart mahallesine erzak su ısıtıcı yardımları daha ulaşmamış sınırlı sayida olan markette ki ürünlerde tükenmiş insanlar aç ve susuz orada. Küçük bebek çok mama ve yemek gerekli  Iletişim +90 543 533 01 54,1.0
18,"Çocuk için acil; Öksürük şurubu, pişik kremi ve 5 numara çocuk bezi ihtiyacı. Adres: Adıyaman/merkez Adıyaman Üniversitesi İletişim: Gökhan sonuç 05442040876",1.0
19,ADIYAMAN ÇADIR GEREKİYOR🚨 Bebek var arabalarda kalamıyorlar  Yeşilyurt taziye evi aşağısı ceylan düğün salonuna doğru Adıyaman Merkez Yeşilyurt mahallesi 21188 sokak  0543 682 12 80 Ararlarsa tarif ederiz,1.0
20,🚨🚨🚨ACİL🚨🚨🚨ACİL🚨🚨Kahramanmaraş/Onikişubat Şazibey mahallesi Haydar Aliyev bulvarı yunus apartmanına acil termal kamera lazım.,1.0
21,CADIR ERZAK TEMEL GIDA ACIL Beyoğlu mahallesi istiklal caddesi Selvi sokak no :9 sağlık ocagı dönüşü köşe başı KAHRAMANMARAŞ Remzi Ercan 05330555658  Çocuk var yanlarında 10 aylık ve 4 yaşında şuanda 15 kişiler tek bir çadıra sığarız biz diyorlar  ACİL‼️‼️‼️‼️‼️‼️,1.0
22,Hatay defne toygarlı köyü şehirden gelenler buraya yerleşmiş ancak hiç battaniye gıda su yardımı ulaşmamış. 2000 kişi kadar. Acil ve Teyitli. 0531 372 58 10,1.0
23,"20 kişilik bir aile Hatay/Kırıkhanda mahsur. Yemek,su,çadır hicbirseyleri yok. Adresleri: Bahçelievler mahallesi 514 sok. No:26  İrtibat: 0538 310 86 32",1.0
24,"Hatay kırıkhan, ılıkpınar mahallesi, ılıkpınar sokak. Mahmut bey köy muhtarı  05305601936 Köye girdikleri an beni görürler diyor Enkaz altımda kimse yok ama hepsi dışarda yatıyor acil çadır lazım #hatay #hataydeprem #hatayyardimbekliyor #HatayKırıkhanaYardım #deprem #acil",1.0
25,Gaziantep 5. O.S.B. Atlantik Halı yemek verilmektedir. İsteyen herkes alabilir.,1.0
26,‼️‼️TEYİTLİDİR‼️‼️ YAYALIM‼️‼️  Çobanbeyli mah Mehmet Akif Ersoy cad. No 44 çobanbeyli köyü Afşin/Kahramanmaraş  ACİL ÇADIR VE POWERBANK İHTİYAÇLARI VAR LÜTFEN YAYALIM,1.0
27,"Gaziantep Merkez, İslahiye ve Nurdağı'nda insanların su, battaniye ve yiyeceğe ihtiyacı var.   YARDIM ULAŞMIYORMUŞ. LÜTFEN YARDIM EDİN.",1.0
28,Hatay'da yaşayan arkadaşım paylaşmış bu videoyu. İskenderun/Expo alanında yardım tırı var. Her türlü yardım malzemesi var. İhtiyacı olan araçla gidip alabilir.,1.0
29,"Karaköse mahallesi Cumhuriyet caddesi no 21.  (Recep Tayyip Erdoğan parkının üst tarafında)  Yayladağı HATAY.  bir evde 22 kişi kalıyorlar yiyecekleri yok. yardımlar ulaşmıyor.erzak, benzin, bebek bezi, ped ne olursa ihtiyaçları var. 0536 498 32 81- veysel keçeli",1.0
30,Malatya Doğanşehir ve köylerine acil ısıtıcı çadır ve erzak gitmesi lazım!!! TEYİTLİ #Malatya #AFAD,1.0
31,ÇOK ACİL Rümeysa Çağdar hatay antakya harbiye caddesi defne sokak mozaikler sitesi no22 05342029675 TIBBI YARDIM LAZIM,1.0
32,0545 372 22 73 bu numaraya çadır isteyen herkes ulaşsın,1.0
33,ACİL YİYECEK VE GİYECEK DESTEĞİ ŞU ANA KADAR HİÇ YARDIM GİTMEMİŞ!! TAVLA MAHALLESİ SAĞLIK SOKAK SAĞLIK OCAĞI YANI DEFNE/HATAY RECEP RENDE 0536 510 96 03,1.0
34,"Girmana mahalle muhtarlığı Hekimhan/Malatya lütfen yayalım. Acilen çadır, ısıtıcı, kıyafet ve Gıda ihtiyaçları var. Dün gece -13dereceydi soğuktan donarak öleceğiz dediler. lütfen yardım edin.Mahalle muhtarı Cafer Kınık: 536 589 04 87 Adem Kınık: 535 931 26 50",1.0
35,05070455426 teyitli numara -Adıyaman merkez eğriçay parkı yakınlarındayız- hamile kadınlar var ISITICI LAZIM ACİL !! Isınamıyorlar !!!,1.0
36,"ACİL YARDIM!!! 20 AYLIK MİNİK BEBEĞİ VAR LÜTFEN YARDIM EDİN OĞLU EPİLEPSİ HASTASI ACİL ŞU İLAÇLARA İHTİYACI VAR (Sabril, Keppra Topamax, Xamate) AYRICA GIDA VE GİYİM MALZEMELERİ HİÇ YOK ADRES ANTAKYA MERKEZ ALTINÇAY MAH MEHMET KAFADAR CD TOKİ CAMİ 05057337380 MEHMET FATİH TUNÇ",1.0
37,"gıda yardımına ihtiyaç, çocuk bezi, kuru gıdaya ihtiyaç kahramanmaraş türkoğlu ciceli mah. küme evleri 05382439040 Hatay Antakya ",1.0
38,"🚨🚨🚨 ACİL AFŞİN 🚨🚨🚨 Aritas mahallesi arıpınarı caddesi no 6 Afşin Kahramanmaraş Hava çok soğuk, ÇADIR YOK. Küçük kızlar donmak üzere. ACİLEN ÇADIR GEREKİYOR!  @ahbap   @DepremDairesi   @AFADBaskanlik   0 531 627 24 48 Selda Gevher 19:30 itibariyle teyitli",1.0
